Type,Grain Label,Reference,Meteorite,Technique,Size (microns),Notes,7Li/6Li,Error[7Li/6Li],11B/10B,Error[11B/10B],12C/13C,Error[12C/13C],14N/15N,Error[14N/15N],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(29Si/28Si)],26Al/27Al,Error[26Al/27Al],d(33S/32S),Error[d(33S/32S)],d(34S/32S),Error[d(34S/32S)],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],44Ti/48Ti,Error[44Ti/48Ti),d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],51V/48Ti,Error[51V/48Ti],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)],d(84Sr/86Sr),Error[d(84Sr/86Sr)],d(87Sr/86Sr),Error[d(87Sr/86Sr)],d(88Sr/86Sr),Error[d(88Sr/86Sr)],d(90Zr/94Zr),Error[d(90Zr/94Zr)],d(91Zr/94Zr),Error[d(91Zr/94Zr)],d(92Zr/94Zr),Error[d(92Zr/94Zr)],d(96Zr/94Zr),Error[d(96Zr/94Zr)],d(92Mo/96Mo),Error[d(92Mo/96Mo)],d(94Mo/96Mo),Error[d(94Mo/96Mo)],d(95Mo/96Mo),Error[d(95Mo/96Mo)],d(97Mo/96Mo),Error[d(97Mo/96Mo)],d(98Mo/96Mo),Error[d(98Mo/96Mo)],d(100Mo/96Mo),Error[d(100Mo/96Mo)],d(96Ru/100Ru),Error[d(96Ru/100Ru)],d(98Ru/100Ru),Error[d(98Ru/100Ru)],d(99Ru/100Ru),Error[d(99Ru/100Ru)],d(101Ru/100Ru),Error[d(101Ru/100Ru)],d(102Ru/100Ru),Error[d(102Ru/100Ru)],d(104Ru/100Ru),Error[d(104Ru/100Ru)],d(134Ba/136Ba),Error[d(134Ba/136Ba)],d(135Ba/136Ba),Error[d(135Ba/136Ba)],d(137Ba/136Ba),Error[d(137Ba/136Ba)],d(138Ba/136Ba),Error[d(138Ba/136Ba)],
M,IH6_8_mg_19,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,92.20,1.20,,,24.9,7.0,26.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_2,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,75.50,0.70,,,39.4,6.5,41.5,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_20,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,92.20,1.20,,,-5.7,7.0,4.5,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_3,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,69.90,0.60,,,63.9,6.5,58.5,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,46.10,0.30,,,69.4,7.1,62.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_6,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,39.90,0.40,,,15.1,9.5,11.9,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_8_mg_9,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,26.30,0.10,,,69.0,6.5,77.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_1,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,82.20,0.90,,,21.2,6.4,34.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_10,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,48.60,0.30,,,87.4,6.7,70.7,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_11,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,82.40,0.90,,,27.0,6.6,36.4,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_12,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,64.10,0.60,,,40.0,6.6,34.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_14,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,67.70,0.60,,,-2.2,6.5,26.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_15,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.00,0.40,,,8.2,6.6,19.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_18,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,90.20,1.60,,,3.1,9.3,-2.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_2,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,54.00,0.40,,,-2.5,6.5,31.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_3,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,11.50,0.00,,,-17.6,6.6,-3.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_6,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,80.80,0.90,,,24.1,6.6,39.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_7,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,52.40,0.40,,,108.9,6.9,96.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6_9_mg_9,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,40.50,0.40,,,70.9,8.2,43.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH-6-17,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.30,0.30,,,50.0,4.8,50.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,47.30,0.80,,,136.6,12.6,72.1,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,49.80,0.70,,,128.8,10.6,82.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,47.80,0.30,,,107.7,5.5,82.9,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,48.70,0.30,,,93.3,6.0,82.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,56.10,0.80,,,89.9,10.3,67.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,41.70,0.30,,,84.1,5.8,63.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,53.40,0.40,,,82.2,6.7,54.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,50.80,0.30,,,77.6,5.5,62.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,58.90,0.40,,,77.4,5.7,69.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,52.30,0.30,,,71.9,5.3,80.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,13.70,0.10,,,71.7,9.2,52.2,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,50.10,0.30,,,64.8,5.7,51.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.00,0.70,,,63.4,8.6,46.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,53.20,0.50,,,60.9,7.3,61.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.50,0.40,,,59.4,5.5,59.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,32.20,0.20,,,59.2,5.7,55.4,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,52.50,0.40,,,57.7,5.8,58.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.30,0.30,,,57.1,5.1,51.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,27.70,0.10,,,56.2,5.0,46.3,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,53.40,0.60,,,52.5,8.4,46.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,70.30,0.60,,,50.8,6.3,53.3,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,58.70,0.80,,,49.4,9.6,17.9,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,58.50,0.30,,,45.4,4.9,42.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,20.00,0.10,,,44.5,8.1,43.9,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,64.60,0.60,,,43.9,6.6,26.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,63.80,0.40,,,42.0,5.3,53.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,54.90,0.50,,,40.4,7.4,37.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,58.10,0.50,,,39.9,5.6,25.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,72.80,0.80,,,39.9,6.8,31.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,40.60,0.20,,,39.7,5.2,32.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,29.80,0.10,,,38.9,5.3,27.8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,72.30,0.80,,,38.5,6.8,35.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,57.80,0.30,,,38.5,4.9,43.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,52.80,0.50,,,35.6,7.2,70.3,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,68.20,1.30,,,35.1,10.9,5.6,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,63.80,0.90,,,29.5,9.1,44.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,68.00,0.70,,,28.9,7.2,24.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,48.60,0.80,,,26.1,10.9,37.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,51.40,0.40,,,23.0,6.0,21.7,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,52.60,0.30,,,22.0,5.0,27.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,42.10,0.20,,,21.3,4.9,47.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,45.00,0.30,,,19.0,6.0,15.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,66.10,0.40,,,17.4,5.2,29.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,74.60,0.90,,,16.7,7.1,36.6,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,53.60,0.40,,,15.9,5.8,22.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,77.20,0.60,,,15.9,5.0,24.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,80.20,1.20,,,13.6,9.3,30.2,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,71.50,0.70,,,12.5,6.8,11.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,74.70,0.50,,,12.3,5.1,21.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,84.90,0.70,,,11.5,5.4,28.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,48.40,0.60,,,8.6,9.9,-4.4,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,77.80,0.50,,,7.3,5.1,26.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,13.10,0.00,,,5.7,5.3,22.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,68.60,0.80,,,4.4,7.8,4.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,93.10,0.80,,,3.6,5.1,34.9,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,58.70,0.90,,,3.1,10.4,24.9,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,75.70,1.00,,,1.5,7.7,13.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,39.70,0.30,,,1.0,6.1,7.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,43.00,0.30,,,-1.0,6.7,23.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,39.00,0.20,,,-4.0,6.0,25.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,88.40,1.90,,,-7.9,11.2,-14.6,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,IH6-4,Zinner MAPS 2003,Indarch,Wash U NanoSIMS,            ,,,,,,93.00,0.90,,,-20.7,5.6,5.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
